bus id,date,fuel type,outage end,outage start,unit name,unit size,zone
120115,2020-10-15,NG,11/25/2020 0:00,10/12/2020 0:00,FREESTONE ENERGY CENTER GT5,161,LZ_NORTH
120115,2020-10-13,NG,11/25/2020 0:00,10/12/2020 0:00,FREESTONE ENERGY CENTER GT5,161,LZ_NORTH
120116,2020-10-15,NG,11/25/2020 0:00,10/12/2020 0:00,FREESTONE ENERGY CENTER ST6,180,LZ_NORTH
120116,2020-10-13,NG,11/25/2020 0:00,10/12/2020 0:00,FREESTONE ENERGY CENTER ST6,180,LZ_NORTH
170162,2020-10-15,NG,11/7/2020 0:00,10/9/2020 0:00,GUADALUPE GEN STN GT2,167,LZ_LCRA
170162,2020-10-10,NG,11/7/2020 0:00,10/9/2020 0:00,GUADALUPE GEN STN GT2,167,LZ_LCRA
170162,2020-10-11,NG,11/7/2020 0:00,10/9/2020 0:00,GUADALUPE GEN STN GT2,167,LZ_LCRA
170162,2020-10-12,NG,11/7/2020 0:00,10/9/2020 0:00,GUADALUPE GEN STN GT2,167,LZ_LCRA
170162,2020-10-13,NG,11/7/2020 0:00,10/9/2020 0:00,GUADALUPE GEN STN GT2,167,LZ_LCRA
150053,2020-10-15,NG,10/28/2020 0:00,10/9/2020 0:00,HANDLEY 5,435,LZ_NORTH
150053,2020-10-10,NG,10/28/2020 0:00,10/9/2020 0:00,HANDLEY 5,435,LZ_NORTH
150053,2020-10-11,NG,10/28/2020 0:00,10/9/2020 0:00,HANDLEY 5,435,LZ_NORTH
150053,2020-10-12,NG,10/28/2020 0:00,10/9/2020 0:00,HANDLEY 5,435,LZ_NORTH
150053,2020-10-13,NG,10/28/2020 0:00,10/9/2020 0:00,HANDLEY 5,435,LZ_NORTH
160191,2020-10-15,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT1,150,LZ_SOUTH
160191,2020-10-08,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT1,150,LZ_SOUTH
160191,2020-10-09,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT1,150,LZ_SOUTH
160191,2020-10-10,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT1,150,LZ_SOUTH
160191,2020-10-11,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT1,150,LZ_SOUTH
160191,2020-10-12,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT1,150,LZ_SOUTH
160191,2020-10-13,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT1,150,LZ_SOUTH
160192,2020-10-15,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT2,150,LZ_SOUTH
160192,2020-10-08,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT2,150,LZ_SOUTH
160192,2020-10-09,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT2,150,LZ_SOUTH
160192,2020-10-10,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT2,150,LZ_SOUTH
160192,2020-10-11,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT2,150,LZ_SOUTH
160192,2020-10-12,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT2,150,LZ_SOUTH
160192,2020-10-13,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO GT2,150,LZ_SOUTH
160193,2020-10-15,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO ST1,176,LZ_SOUTH
160193,2020-10-08,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO ST1,176,LZ_SOUTH
160193,2020-10-09,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO ST1,176,LZ_SOUTH
160193,2020-10-10,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO ST1,176,LZ_SOUTH
160193,2020-10-11,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO ST1,176,LZ_SOUTH
160193,2020-10-12,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO ST1,176,LZ_SOUTH
160193,2020-10-13,NG,10/18/2020 0:00,10/5/2020 0:00,HIDALGO ST1,176,LZ_SOUTH
160151,2020-10-15,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 1,82,LZ_SOUTH
160151,2020-10-08,NG,10/11/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 1,82,LZ_SOUTH
160151,2020-10-09,NG,10/11/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 1,82,LZ_SOUTH
160151,2020-10-10,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 1,82,LZ_SOUTH
160151,2020-10-11,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 1,82,LZ_SOUTH
160151,2020-10-12,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 1,82,LZ_SOUTH
160151,2020-10-13,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 1,82,LZ_SOUTH
160152,2020-10-15,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 2,82,LZ_SOUTH
160152,2020-10-08,NG,10/11/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 2,82,LZ_SOUTH
160152,2020-10-09,NG,10/11/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 2,82,LZ_SOUTH
160152,2020-10-10,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 2,82,LZ_SOUTH
160152,2020-10-11,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 2,82,LZ_SOUTH
160152,2020-10-12,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 2,82,LZ_SOUTH
160152,2020-10-13,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 2,82,LZ_SOUTH
160153,2020-10-15,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 3,68,LZ_SOUTH
160153,2020-10-08,NG,10/11/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 3,68,LZ_SOUTH
160153,2020-10-09,NG,10/11/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 3,68,LZ_SOUTH
160153,2020-10-10,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 3,68,LZ_SOUTH
160153,2020-10-11,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 3,68,LZ_SOUTH
160153,2020-10-12,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 3,68,LZ_SOUTH
160153,2020-10-13,NG,10/24/2020 0:00,10/5/2020 0:00,INGLESIDE COGENERATION 3,68,LZ_SOUTH
150201,2020-10-15,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT1,165,LZ_NORTH
150201,2020-10-08,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT1,165,LZ_NORTH
150201,2020-10-09,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT1,165,LZ_NORTH
150201,2020-10-10,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT1,165,LZ_NORTH
150201,2020-10-11,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT1,165,LZ_NORTH
150201,2020-10-12,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT1,165,LZ_NORTH
150201,2020-10-13,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT1,165,LZ_NORTH
150202,2020-10-15,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT2,165,LZ_NORTH
150202,2020-10-08,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT2,165,LZ_NORTH
150202,2020-10-09,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT2,165,LZ_NORTH
150202,2020-10-10,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT2,165,LZ_NORTH
150202,2020-10-11,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT2,165,LZ_NORTH
150202,2020-10-12,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT2,165,LZ_NORTH
150202,2020-10-13,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY CT2,165,LZ_NORTH
150203,2020-10-15,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY STG,310,LZ_NORTH
150203,2020-10-08,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY STG,310,LZ_NORTH
150203,2020-10-09,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY STG,310,LZ_NORTH
150203,2020-10-10,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY STG,310,LZ_NORTH
150203,2020-10-11,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY STG,310,LZ_NORTH
150203,2020-10-12,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY STG,310,LZ_NORTH
150203,2020-10-13,NG,10/16/2020 0:00,10/3/2020 0:00,JACK COUNTY GENFACILITY STG,310,LZ_NORTH
150154,2020-10-15,NG,10/18/2020 0:00,10/12/2020 0:00,MIDLOTHIAN 4,264,LZ_NORTH
150154,2020-10-13,NG,10/18/2020 0:00,10/12/2020 0:00,MIDLOTHIAN 4,264,LZ_NORTH
150154,2020-10-08,NG,10/8/2020 0:00,10/2/2020 0:00,QUAIL RUN ENERGY GT3,81,LZ_WEST
150154,2020-10-08,NG,10/8/2020 0:00,10/2/2020 0:00,QUAIL RUN ENERGY GT4,81,LZ_WEST
150154,2020-10-08,NG,10/8/2020 0:00,10/2/2020 0:00,QUAIL RUN ENERGY STG2,98,LZ_WEST
150133,2020-10-15,NG,10/25/2020 0:00,10/1/2020 0:00,R W MILLER 3,208,LZ_NORTH
150133,2020-10-08,NG,10/25/2020 0:00,10/1/2020 0:00,R W MILLER 3,208,LZ_NORTH
150133,2020-10-09,NG,10/25/2020 0:00,10/1/2020 0:00,R W MILLER 3,208,LZ_NORTH
150133,2020-10-10,NG,10/25/2020 0:00,10/1/2020 0:00,R W MILLER 3,208,LZ_NORTH
150133,2020-10-11,NG,10/25/2020 0:00,10/1/2020 0:00,R W MILLER 3,208,LZ_NORTH
150133,2020-10-12,NG,10/25/2020 0:00,10/1/2020 0:00,R W MILLER 3,208,LZ_NORTH
150133,2020-10-13,NG,10/25/2020 0:00,10/1/2020 0:00,R W MILLER 3,208,LZ_NORTH
160272,2020-10-15,NG,10/25/2020 0:00,10/12/2020 0:00,SILAS RAY 6 ST,21,LZ_SOUTH
160272,2020-10-13,NG,10/25/2020 0:00,10/12/2020 0:00,SILAS RAY 6 ST,21,LZ_SOUTH
160273,2020-10-15,NG,10/18/2020 0:00,10/5/2020 0:00,SILAS RAY 9 GT,49,LZ_SOUTH
160273,2020-10-08,NG,10/18/2020 0:00,10/5/2020 0:00,SILAS RAY 9 GT,49,LZ_SOUTH
160273,2020-10-09,NG,10/18/2020 0:00,10/5/2020 0:00,SILAS RAY 9 GT,49,LZ_SOUTH
160273,2020-10-10,NG,10/18/2020 0:00,10/5/2020 0:00,SILAS RAY 9 GT,49,LZ_SOUTH
160273,2020-10-11,NG,10/18/2020 0:00,10/5/2020 0:00,SILAS RAY 9 GT,49,LZ_SOUTH
160273,2020-10-12,NG,10/18/2020 0:00,10/5/2020 0:00,SILAS RAY 9 GT,49,LZ_SOUTH
160273,2020-10-13,NG,10/18/2020 0:00,10/5/2020 0:00,SILAS RAY 9 GT,49,LZ_SOUTH
110056,2020-10-15,NG,10/31/2020 0:00,10/2/2020 0:00,T H WHARTON 55,65,LZ_HOUSTON
110056,2020-10-08,NG,10/31/2020 0:00,10/2/2020 0:00,T H WHARTON 55,65,LZ_HOUSTON
110056,2020-10-09,NG,10/31/2020 0:00,10/2/2020 0:00,T H WHARTON 55,65,LZ_HOUSTON
110056,2020-10-10,NG,10/31/2020 0:00,10/2/2020 0:00,T H WHARTON 55,65,LZ_HOUSTON
110056,2020-10-11,NG,10/31/2020 0:00,10/2/2020 0:00,T H WHARTON 55,65,LZ_HOUSTON
110056,2020-10-12,NG,10/31/2020 0:00,10/2/2020 0:00,T H WHARTON 55,65,LZ_HOUSTON
110056,2020-10-13,NG,10/31/2020 0:00,10/2/2020 0:00,T H WHARTON 55,65,LZ_HOUSTON
