PSSE New BUS,SSWG Bus Name,SSWG kV,Weather Zone,Settlement Zone,Planning Bus Long Name,TSP,County,Utility EIA ID,Zip Code,Latitude,Longitude
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1054,OLFNNSHL_8,138,WZ_FAR_WEST,LZ_WEST,OLFNNSHL_8,ONCOR,ECTOR,44372,79766,31.83401,-102.3263
1074,WINKSS_8,138,WZ_FAR_WEST,LZ_WEST,WINKSS_8,ONCOR,WINKLER,40051,79789,31.76329,-103.1448
1074,WINKSS_8,138,WZ_FAR_WEST,LZ_WEST,WINKSS_8,ONCOR,WINKLER,40051,79789,31.76329,-103.1448
1077,BALDING_8,138,WZ_FAR_WEST,LZ_WEST,WILDCAT_8,ONCOR,WINKLER,40051,79789,31.80242,-103.23995
1079,SALTCRKW_8,138,WZ_FAR_WEST,LZ_WEST,SALTCRKW_8,ONCOR,WINKLER,44372,79770,31.81771,-104.04646
1080,WHITOIL_8,138,WZ_FAR_WEST,LZ_WEST,WHITOIL_8,ONCOR,WARD,44372,79788,31.5812,-102.9911
1080,WHITOIL_8,138,WZ_FAR_WEST,LZ_WEST,WHITOIL_8,ONCOR,WARD,44372,79788,31.5812,-102.9911
1080,WHITOIL_8,138,WZ_FAR_WEST,LZ_WEST,WHITOIL_8,ONCOR,WARD,44372,79788,31.5812,-102.9911
